4,Defender,Phil,Jones,MUN,185
6,Midfielder,Paul,Pogba,MUN,191
7,Forward,Alexis,Sanchez,MUN,168
8,Midfielder,Juan,Mata,MUN,170
9,Forward,Romelu,Lukaku,MUN,190
10,Forward,Marcus,Rashford,MUN,185
11,Forward,Anthony,Martial,MUN,183
12,Defender,Chris,Smalling,MUN,194
13,Goalkeeper,Lee,Grant,MUN,193
14,Midfielder,Jesse,Lingard,MUN,174
15,Midfielder,Andreas,Pereira,MUN,178
16,Defender,Marcos,Rojo,MUN,186
17,Midfielder,Fred,,MUN,169
18,Defender,Ashley,Young,MUN,176
20,Defender,Diogo,Dalot,MUN,183
21,Midfielder,Ander,Herrera,MUN,182
22,Goalkeeper,Sergio,Romero,MUN,192
23,Defender,Luke,Shaw,MUN,181
27,Midfielder,Marouane,Fellaini,MUN,194
31,Midfielder,Nemanja,Matic,MUN,194
36,Defender,Matteo,Darmian,MUN,183
39,Midfielder,Scott,McTominay,MUN,193
44,Midfielder,Tahith,Chong,MUN,185
46,Forward,Joshua,Bohui,MUN,175
47,Midfielder,Angel,Gomes,MUN,161
48,Midfielder,Ethan,Hamilton,MUN,187
51,Goalkeeper,Matej,Kovar,MUN,191
1,Goalkeeper,Hugo,Lloris,TOT,188
2,Defender,Kieran,Trippier,TOT,174
3,Defender,Danny,Rose,TOT,173
4,Defender,Toby,Alderweireld,TOT,186
5,Defender,Jan,Vertonghen,TOT,189
6,Defender,Davinson,Sanchez,TOT,187
7,Forward,Son,Heung-Min,TOT,184
8,Midfielder,Harry,Winks,TOT,178
9,Forward,Vincent,Janssen,TOT,183
10,Forward,Harry,Kane,TOT,188
11,Midfielder,Erik,Lamela,TOT,184
12,Midfielder,Victor,Wanyama,TOT,184
13,Goalkeeper,Michel,Vorm,TOT,183
14,Midfielder,Georges-Kevin,Nkoudou,TOT,174
15,Midfielder,Eric,Dier,TOT,188
16,Defender,Kyle,Walker-Peters,TOT,173
17,Midfielder,Moussa,Sissoko,TOT,187
18,Forward,Fernando,Llorente,TOT,193
19,Midfielder,Mousa,Dembele,TOT,185
20,Midfielder,Dele,Alli,TOT,188
21,Defender,Juan,Foyth,TOT,187
22,Goalkeeper,Paulo,Gazzaniga,TOT,195
23,Midfielder,Christian,Eriksen,TOT,182
24,Defender,Serge,Aurier,TOT,176
27,Midfielder,Lucas,Moura,TOT,172
33,Defender,Ben,Davies,TOT,181
40,Midfielder,Luke,Amos,TOT,179
41,Goalkeeper,Alfie,Whiteman,TOT,189
52,Midfielder,Oliver,Skipp,TOT,175
53,Defender,Timothy,Eyoma,TOT,180
